uPPT,active_instrumental,calm_instrumental,active_vocals,calm_vocals,filename
1,0.866666666666667,0.986666666666667,0.973333333333333,0.946666666666667,musicalMathTest_2022-11-01_11h56.48.543
2,0.859375,0.984375,0.84375,0.921875,musicalMathTest_2022-11-01_12h24.03.448
3,1,1.18367346938776,1.08163265306122,1.02040816326531,musicalMathTest_2022-11-01_15h27.43.086
4,1.05882352941176,1.15686274509804,1.31372549019608,0.764705882352941,musicalMathTest_2022-11-01_17h39.16.323
5,0.977272727272727,0.931818181818182,1.02272727272727,0.818181818181818,musicalMathTest_2022-11-01_20h41.16.054
6,1.12676056338028,0.957746478873239,1.07042253521127,1.16901408450704,musicalMathTest_2022-11-01_20h54.34.424
7,1.09259259259259,1.03703703703704,1.03703703703704,1.07407407407407,musicalMathTest_2022-11-02_00h22.36.021
8,1.18867924528302,0.924528301886792,0.962264150943396,1.07547169811321,musicalMathTest_2022-11-02_01h11.45.986
9,0.818181818181818,0.666666666666667,0.757575757575758,1.06060606060606,xandera
10,0.72972972972973,0.621621621621622,0.918918918918919,0.783783783783784,xanderb
