songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,43,25,68,70,71,73,0,0,0,6,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.12940849999723,98.12940849999723,98.12940849999723,98.12940849999723,98.12940849999723,0.009074500001588603,98.12940849999723,True,-0.10888888888888888,-0.39444444444444443,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,21,5,105,107,109,113,0,0,0,6,0,8,8,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.85889390000011,104.85889390000011,104.85889390000011,104.85889390000011,104.85889390000011,0.008810100000118837,104.85889390000011,True,-0.09,-0.4033333333333333,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,10,18,180,186,185,187,0,0,0,6,0,9,9,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.057199699997,108.057199699997,108.057199699997,108.057199699997,108.057199699997,0.008669200000440469,108.057199699997,True,-0.09333333333333334,-0.4,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,5,2,10,15,20,16,0,0,0,6,0,10,10,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.47428579999905,109.47428579999905,109.47428579999905,109.47428579999905,109.47428579999905,0.008620100001280662,109.47428579999905,True,-0.09333333333333334,-0.4,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,46,43,89,92,91,99,0,0,0,6,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.75700059999872,110.75700059999872,110.75700059999872,110.75700059999872,110.75700059999872,0.009350899999844842,110.75700059999872,True,0.08444444444444445,-0.4066666666666667,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,21,10,210,220,218,216,0,0,0,6,0,12,12,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.88691649999964,118.88691649999964,118.88691649999964,118.88691649999964,118.88691649999964,0.00918180000007851,118.88691649999964,True,0.08444444444444445,-0.4066666666666667,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,22,22,44,52,49,52,0,0,0,6,0,13,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.81939259999854,120.81939259999854,120.81939259999854,120.81939259999854,120.81939259999854,0.009892899997794302,120.81939259999854,True,-0.3055555555555556,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,10,12,120,130,132,130,0,0,0,6,0,14,14,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.19994399999996,124.19994399999996,124.19994399999996,124.19994399999996,124.19994399999996,0.008818399997835513,124.19994399999996,True,-0.30444444444444446,-0.3977777777777778,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,51,49,100,102,104,108,0,0,0,6,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.93403009999747,125.93403009999747,125.93403009999747,125.93403009999747,125.93403009999747,0.009037600000738166,125.93403009999747,True,-0.30444444444444446,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,18,10,180,184,181,185,0,0,0,6,0,16,16,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.66413850000026,130.66413850000026,130.66413850000026,130.66413850000026,130.66413850000026,0.009088499999052146,130.66413850000026,True,-0.30444444444444446,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
