songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,54,54,0,1,3,2,0,0,0,3,0,7,7,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.008183,40.008183,40.008183,40.008183,40.008183,0.00411,40.008183,TRUE,0.299074074,-0.394444444,1,0,0,ansFour,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,56,53,109,116,112,116,0,0,0,3,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4415131,42.4415131,42.4415131,42.4415131,42.4415131,0.0042693,42.4415131,TRUE,0.099074074,-0.403703704,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,54,11,43,33,48,52,0,0,0,3,0,9,9,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1582535,49.1582535,49.1582535,49.1582535,49.1582535,0.0042697,49.1582535,TRUE,0.098148148,-0.399074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,14,10,140,147,141,150,0,0,0,3,0,10,10,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3916132,52.3916132,52.3916132,52.3916132,52.3916132,0.0042609,52.3916132,TRUE,-0.287037037,-0.400925926,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,57,54,3,5,7,5,0,0,0,3,0,11,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.608311,53.608311,53.608311,53.608311,53.608311,0.0041141,53.608311,TRUE,0.096296296,-0.401851852,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,10,14,140,150,148,141,0,0,0,3,0,12,12,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9083294,57.9083294,57.9083294,57.9083294,57.9083294,0.0041631,57.9083294,TRUE,0.096296296,-0.40462963,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,14,5,70,73,77,75,0,0,0,3,0,13,13,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2250089,59.2250089,59.2250089,59.2250089,59.2250089,0.0042143,59.2250089,TRUE,-0.09537037,-0.402777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,11,10,110,114,115,111,0,0,0,3,0,14,14,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0250263,62.0250263,62.0250263,62.0250263,62.0250263,0.004165,62.0250263,TRUE,-0.309259259,-0.40462963,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,10,6,60,63,62,61,0,0,0,3,0,15,15,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6083381,63.6083381,63.6083381,63.6083381,63.6083381,0.0044688,63.6083381,TRUE,0.108333333,-0.399074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,57,53,110,114,116,112,0,0,0,3,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2750346,65.2750346,65.2750346,65.2750346,65.2750346,0.0040911,65.2750346,TRUE,0.10462963,-0.399074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
