songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\silence.wav,silent,silent,silent,4,90,B,multiply,17,10,170,176,175,174,0,2,2,4,0,9,9,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2721699,254.2721699,254.2721699,254.2721699,254.2721699,0.0051774,254.2721699,TRUE,-0.307407407,-0.403703704,1,0,0,ansOne,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,20,16,4,11,10,14,0,2,2,4,0,10,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.4222653,256.4222653,256.4222653,256.4222653,256.4222653,0.005259,256.4222653,TRUE,0.107407407,-0.40462963,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,4,10,40,45,42,48,0,2,2,4,0,11,11,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7060694,262.7060694,262.7060694,262.7060694,262.7060694,0.0054043,262.7060694,TRUE,-0.100925926,-0.409259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,15,10,150,151,153,157,0,2,2,4,0,12,12,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1228021,264.1228021,264.1228021,264.1228021,264.1228021,0.0053258,264.1228021,TRUE,-0.287962963,-0.401851852,1,0,0,ansOne,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,55,39,16,24,20,21,0,2,2,4,0,13,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.9562887,265.9562887,265.9562887,265.9562887,265.9562887,0.0055596,265.9562887,TRUE,-0.294444444,-0.413888889,1,0,0,ansOne,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,40,39,1,6,3,9,0,2,2,4,0,14,14,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.9234006,272.9234006,272.9234006,272.9234006,272.9234006,0.0049587,272.9234006,TRUE,-0.101851852,-0.409259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,3,10,30,34,37,31,0,2,2,4,0,15,15,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7736771,276.7736771,276.7736771,276.7736771,276.7736771,0.0053179,276.7736771,TRUE,-0.105555556,-0.398148148,1,0,0,ansTwo,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,25,23,2,9,5,8,0,2,2,4,0,16,16,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.3071192,278.3071192,278.3071192,278.3071192,278.3071192,0.0054518,278.3071192,TRUE,0.099074074,-0.389814815,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,37,16,21,28,11,15,0,2,2,4,0,17,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.6907169,280.6907169,280.6907169,280.6907169,280.6907169,0.005209,280.6907169,FALSE,0.106481481,-0.406481481,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,10,4,40,48,45,46,0,2,2,4,0,18,18,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.8080359,290.8080359,290.8080359,290.8080359,290.8080359,0.0053099,290.8080359,TRUE,0.096296296,-0.400925926,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,5,15,75,77,85,77,0,2,2,4,0,19,19,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.7415376,292.7415376,292.7415376,292.7415376,292.7415376,0.0051246,292.7415376,TRUE,0.105555556,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,add,55,19,74,82,77,81,0,1,1,2,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,132.7730871,0.0046494,0.37037037,-0.02962963,1,0,0,135.8564971,135.8564971,135.8564971,135.8564971,135.8564971,0.0243817,135.8564971,TRUE,-0.084259259,-0.400925926,1,0,0,ansTwo,127.7729785,132.7730871,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,add,40,37,77,83,85,79,0,1,1,2,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5733524,145.5733524,145.5733524,145.5733524,145.5733524,0.0063801,145.5733524,TRUE,-0.093518519,-0.393518519,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
