songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,add,44,26,70,77,79,78,0,0,0,1,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.92688619997352,77.92688619997352,77.92688619997352,77.92688619997352,77.92688619997352,0.014556299895048141,77.92688619997352,True,-0.3111111111111111,-0.40185185185185185,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,19,10,190,195,197,195,0,0,0,1,0,8,8,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3901152999606,84.3901152999606,84.3901152999606,84.3901152999606,84.3901152999606,0.012208700063638389,84.3901152999606,True,0.11481481481481481,-0.39814814814814814,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,subtract,56,54,2,8,5,9,0,0,0,1,0,9,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.53896270005498,86.53896270005498,86.53896270005498,86.53896270005498,86.53896270005498,0.009262799983844161,86.53896270005498,True,0.09907407407407408,-0.40555555555555556,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,10,19,190,197,199,191,0,0,0,1,0,10,10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.30790610006079,90.30790610006079,90.30790610006079,90.30790610006079,90.30790610006079,0.013751300051808357,90.30790610006079,True,0.08518518518518518,-0.3972222222222222,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,subtract,54,13,41,49,42,45,0,0,0,1,0,11,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.85439470002893,91.85439470002893,91.85439470002893,91.85439470002893,91.85439470002893,0.00958449998870492,91.85439470002893,True,-0.3055555555555556,-0.39537037037037037,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,2,6,12,20,22,15,0,0,0,1,0,12,12,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.93698300002143,100.93698300002143,100.93698300002143,100.93698300002143,100.93698300002143,0.010077600018121302,100.93698300002143,True,-0.1,-0.40185185185185185,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,19,10,190,195,192,196,0,0,0,1,0,13,13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.46953260002192,102.46953260002192,102.46953260002192,102.46953260002192,102.46953260002192,0.01015190000180155,102.46953260002192,True,-0.09907407407407408,-0.4,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,subtract,54,54,0,1,3,2,0,0,0,1,0,14,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8718063000124,103.8718063000124,103.8718063000124,103.8718063000124,103.8718063000124,0.013334499904885888,103.8718063000124,True,-0.10277777777777777,-0.4009259259259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,6,5,30,40,36,38,0,0,0,1,0,15,15,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.03638980002142,106.03638980002142,106.03638980002142,106.03638980002142,106.03638980002142,0.00969119998626411,106.03638980002142,True,-0.30925925925925923,-0.3962962962962963,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,5,6,30,36,38,42,0,0,0,1,0,16,16,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.50475199997891,108.50475199997891,108.50475199997891,108.50475199997891,108.50475199997891,0.011799900094047189,108.50475199997891,True,-0.30648148148148147,-0.38981481481481484,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
